row_id,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,car_name_raw,horsepower_missing,split
1,18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu,chevrolet chevelle malibu,0,test
2,15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320,buick skylark 320,0,train
3,18.0,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite,plymouth satellite,0,train
4,16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst,amc rebel sst,0,train
5,17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino,ford torino,0,train
6,15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500,ford galaxie 500,0,test
7,14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala,chevrolet impala,0,train
8,14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii,plymouth fury iii,0,train
9,14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina,pontiac catalina,0,train
10,15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl,amc ambassador dpl,0,test
11,15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se,dodge challenger se,0,train
12,14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340,plymouth 'cuda 340,0,train
13,15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo,chevrolet monte carlo,0,train
14,14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw),buick estate wagon (sw),0,train
15,24.0,4,113.0,95.0,2372.0,15.0,70,3,toyota corona mark ii,toyota corona mark ii,0,train
16,22.0,6,198.0,95.0,2833.0,15.5,70,1,plymouth duster,plymouth duster,0,test
17,18.0,6,199.0,97.0,2774.0,15.5,70,1,amc hornet,amc hornet,0,train
18,21.0,6,200.0,85.0,2587.0,16.0,70,1,ford maverick,ford maverick,0,train
19,27.0,4,97.0,88.0,2130.0,14.5,70,3,datsun pl510,datsun pl510,0,train
20,26.0,4,97.0,46.0,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan,volkswagen 1131 deluxe sedan,0,train
21,25.0,4,110.0,87.0,2672.0,17.5,70,2,peugeot 504,peugeot 504,0,train
22,24.0,4,107.0,90.0,2430.0,14.5,70,2,audi 100 ls,audi 100 ls,0,train
23,25.0,4,104.0,95.0,2375.0,17.5,70,2,saab 99e,saab 99e,0,test
24,26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002,bmw 2002,0,train
25,21.0,6,199.0,90.0,2648.0,15.0,70,1,amc gremlin,amc gremlin,0,train
26,10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250,ford f250,0,test
27,10.0,8,307.0,200.0,4376.0,15.0,70,1,chevrolet c20,chevy c20,0,train
28,11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200,dodge d200,0,train
29,9.0,8,304.0,193.0,4732.0,18.5,70,1,hi 1200d,hi 1200d,0,train
30,27.0,4,97.0,88.0,2130.0,14.5,71,3,datsun pl510,datsun pl510,0,train
31,28.0,4,140.0,90.0,2264.0,15.5,71,1,chevrolet vega 2300,chevrolet vega 2300,0,test
32,25.0,4,113.0,95.0,2228.0,14.0,71,3,toyota corona,toyota corona,0,test
33,25.0,4,98.0,92.0,2046.0,19.0,71,1,ford pinto,ford pinto,1,train
34,19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin,amc gremlin,0,test
35,16.0,6,225.0,105.0,3439.0,15.5,71,1,plymouth satellite custom,plymouth satellite custom,0,train
36,17.0,6,250.0,100.0,3329.0,15.5,71,1,chevrolet chevelle malibu,chevrolet chevelle malibu,0,train
37,19.0,6,250.0,88.0,3302.0,15.5,71,1,ford torino 500,ford torino 500,0,train
38,18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador,amc matador,0,train
