row_id,car_name_raw,car_name
27,chevy c20,chevrolet c20
83,toyouta corona mark ii (sw),toyota corona mark ii (sw)
112,maxda rx3,mazda rx3
162,chevroelt chevelle malibu,chevrolet chevelle malibu
198,vw rabbit,volkswagen rabbit
214,chevy c10,chevrolet c10
294,vw rabbit custom,volkswagen rabbit custom
295,maxda glc deluxe,mazda glc deluxe
298,mercedes benz 300d,mercedes-benz 300d
310,vw rabbit,volkswagen rabbit
326,vw rabbit c (diesel),volkswagen rabbit c (diesel)
327,vw dasher (diesel),volkswagen dasher (diesel)
333,vokswagen rabbit,volkswagen rabbit
395,vw pickup,volkswagen pickup
398,chevy s-10,chevrolet s-10
