row_id,mpg
4,16.0
19,27.0
377,37.0
249,36.1
178,23.0
64,14.0
247,32.8
353,29.9
109,20.0
91,12.0
232,15.5
335,23.7
119,24.0
219,36.0
211,19.0
379,38.0
372,29.0
281,21.5
324,27.9
76,14.0
246,36.1
111,22.0
17,18.0
67,17.0
154,18.0
8,14.0
20,26.0
138,13.0
354,33.0
348,37.0
132,32.0
183,28.0
292,19.2
385,32.0
297,27.4
61,20.0
80,26.0
285,20.6
305,37.3
278,16.2
158,15.0
110,21.0
18,21.0
254,20.5
25,21.0
362,25.4
350,34.1
393,27.0
380,36.0
359,31.6
311,38.1
146,32.0
325,40.8
177,19.0
120,20.0
193,22.0
203,17.5
346,35.1
238,30.5
356,33.7
37,19.0
140,14.0
291,15.5
156,15.0
195,22.5
196,29.0
60,23.0
112,18.0
220,25.5
174,24.0
7,14.0
288,16.5
275,20.3
151,26.0
11,15.0
332,33.8
104,11.0
82,28.0
228,19.0
240,30.0
300,27.2
212,16.5
168,29.0
166,20.0
90,15.0
266,17.5
164,18.0
148,24.0
284,20.2
93,13.0
70,12.0
124,20.0
97,13.0
144,26.0
303,34.5
98,18.0
229,18.5
69,13.0
24,26.0
38,18.0
145,31.0
123,24.0
68,11.0
251,19.4
358,32.9
279,31.5
317,19.1
194,24.0
126,20.0
147,28.0
234,29.0
87,14.0
336,35.0
204,29.5
337,23.6
224,15.5
259,20.6
302,34.2
184,25.0
328,36.4
283,22.3
210,19.0
282,19.8
130,31.0
39,14.0
12,14.0
327,43.4
186,26.0
221,33.5
113,19.0
180,22.0
269,27.2
334,32.7
118,29.0
367,17.6
375,23.0
383,34.0
287,17.6
361,30.7
165,21.0
386,38.0
137,16.0
155,15.0
200,20.0
198,29.0
391,32.0
3,18.0
205,32.0
116,15.0
233,16.0
370,34.0
27,10.0
121,19.0
306,28.4
225,15.0
347,32.3
267,30.0
315,26.4
343,30.0
128,19.0
75,13.0
322,32.2
30,27.0
84,28.0
330,44.6
108,18.0
248,39.4
256,25.1
134,16.0
245,43.1
185,25.0
290,16.9
45,13.0
366,20.2
66,14.0
321,37.0
86,13.0
243,21.5
187,27.0
160,14.0
13,15.0
36,17.0
29,9.0
171,23.0
143,26.0
318,34.3
272,23.2
222,17.5
96,12.0
52,30.0
241,30.5
298,25.4
326,44.3
179,23.0
42,14.0
333,29.8
207,26.5
255,20.2
388,38.0
5,17.0
257,20.5
357,32.4
101,18.0
227,20.5
341,25.8
214,13.0
172,24.0
99,16.0
216,13.0
62,21.0
48,19.0
33,25.0
268,27.5
201,18.0
355,34.5
28,11.0
312,32.1
231,15.5
261,18.6
289,18.2
163,15.0
339,27.2
139,14.0
63,13.0
136,18.0
129,15.0
9,14.0
65,15.0
301,23.9
15,24.0
157,16.0
41,14.0
365,26.6
323,46.6
217,31.5
280,29.5
369,27.0
237,25.5
208,20.0
213,16.5
296,35.7
363,24.2
252,20.2
389,26.0
364,22.4
304,31.8
270,30.9
202,18.5
162,16.0
44,13.0
218,30.0
191,14.5
310,41.5
260,20.8
106,13.0
54,31.0
2,15.0
50,23.0
81,22.0
206,28.0
35,16.0
264,17.7
92,13.0
340,26.6
53,30.0
265,18.1
242,22.0
14,14.0
316,24.3
89,14.0
274,23.9
167,13.0
329,30.0
392,36.0
135,16.0
307,28.8
382,36.0
320,31.3
244,21.5
55,35.0
51,28.0
175,18.0
190,15.5
396,32.0
188,17.5
170,20.0
59,25.0
49,18.0
345,39.0
236,26.0
253,19.2
22,24.0
314,28.0
161,17.0
277,21.6
192,22.0
294,31.9
344,39.1
258,19.4
309,33.5
150,24.0
131,26.0
152,31.0
360,28.1
100,18.0
373,27.0
88,13.0
331,40.9
215,13.0
122,15.0
398,31.0
21,25.0
189,16.0
72,19.0
107,12.0
271,21.1
349,37.7
103,26.0
