,count,unique,top,freq,mean,std,min,25%,50%,75%,max
carat,53771.0,,,,0.7975019992189099,0.4731258961469904,0.2,0.4,0.7,1.04,5.01
cut,53771,5,Ideal,21484,,,,,,,
color,53771,7,G,11254,,,,,,,
clarity,53771,8,SI1,13029,,,,,,,
depth,53771.0,,,,61.748342043108735,1.4295752238631372,43.0,61.0,61.8,62.5,79.0
table,53771.0,,,,57.45721299585278,2.2274064724350127,43.0,56.0,57.0,59.0,79.0
price,53771.0,,,,3930.9614662178496,3985.6814614454656,326.0,951.0,2401.0,5324.0,18823.0
x,53771.0,,,,5.731508991835748,1.1185442643670305,3.73,4.71,5.7,6.54,10.74
y,53771.0,,,,5.733398300198991,1.1104550127272788,3.68,4.72,5.71,6.54,10.54
z,53771.0,,,,3.5393001803946365,0.6910510624201479,1.07,2.91,3.53,4.03,6.98
